ticker,exchange,icb_code,icb_name,effective_from,effective_to,is_current,issuer_id,state_owner_pct,foreign_room_pct
MIC,HNX,1775,Khai khoáng,2020-01-01,,True,,,
MKV,HNX,4577,Dược phẩm,2020-01-01,,True,,,
MST,HNX,2357,Xây dựng,2020-01-01,,True,,,
MVB,HNX,1775,Khai khoáng,2020-01-01,,True,,,
NAG,HNX,2733,Hàng điện & điện tử,2020-01-01,,True,,,
NAP,HNX,2777,"Kho bãi, hậu cần và bảo dưỡng",2020-01-01,,True,,,
NBC,HNX,1771,Khai thác Than,2020-01-01,,True,,,
NBP,HNX,7535,Sản xuất & Phân phối Điện,2020-01-01,,True,,,
NBW,HNX,7577,Nước,2020-01-01,,True,,,
NDN,HNX,8633,Bất động sản,2020-01-01,,True,,,
NDX,HNX,2357,Xây dựng,2020-01-01,,True,,,
NET,HNX,3767,Hàng cá nhân,2020-01-01,,True,,,
NFC,HNX,1357,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",2020-01-01,,True,,,
NHC,HNX,2353,Vật liệu xây dựng & Nội thất,2020-01-01,,True,,,
NRC,HNX,8633,Bất động sản,2020-01-01,,True,,,
NSH,HNX,1753,Nhôm,2020-01-01,,True,,,
NST,HNX,3785,Thuốc lá,2020-01-01,,True,,,
NTH,HNX,7535,Sản xuất & Phân phối Điện,2020-01-01,,True,,,
NTP,HNX,2353,Vật liệu xây dựng & Nội thất,2020-01-01,,True,,,
NVB,HNX,8355,Ngân hàng,2020-01-01,,True,,,
OCH,HNX,3577,Thực phẩm,2020-01-01,,True,,,
ONE,HNX,9572,Phần cứng,2020-01-01,,True,,,
PBP,HNX,2723,Containers & Đóng gói,2020-01-01,,True,,,
PCE,HNX,1357,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",2020-01-01,,True,,,
PCH,HNX,1353,"Nhựa, cao su & sợi",2020-01-01,,True,,,
PCT,HNX,2779,Dịch vụ vận tải,2020-01-01,,True,,,
PDB,HNX,2353,Vật liệu xây dựng & Nội thất,2020-01-01,,True,,,
PEN,HNX,2357,Xây dựng,2020-01-01,,True,,,
PGN,HNX,1353,"Nhựa, cao su & sợi",2020-01-01,,True,,,
PGS,HNX,7573,Phân phối xăng dầu & khí đốt,2020-01-01,,True,,,
PGT,HNX,5759,Vận tải hành khách & Du lịch,2020-01-01,,True,,,
PHN,HNX,2733,Hàng điện & điện tử,2020-01-01,,True,,,
PIA,HNX,6535,Viễn thông cố định,2020-01-01,,True,,,
PIC,HNX,7535,Sản xuất & Phân phối Điện,2020-01-01,,True,,,
PJC,HNX,7573,Phân phối xăng dầu & khí đốt,2020-01-01,,True,,,
PLC,HNX,1357,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",2020-01-01,,True,,,
